KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,TEST_SECTION_ID,KEYCODE,IKI
1826,1536221506958,1536221507005,H,42,72,66
1827,1536221506892,1536221507011,SHIFT,42,16,1350
1828,1536221507030,1536221507157, ,42,69,72
1829,1536221507230,1536221507341,w,42,87,200
1830,1536221507277,1536221507348,i,42,73,47
1831,1536221507414,1536221507581,l,42,76,137
1832,1536221507790,1536221507909,l,42,76,376
1833,1536221507886,1536221507957, ,42,32,96
1834,1536221508013,1536221508109,b,42,66,127
1835,1536221508062,1536221508149,e,42,69,49
1836,1536221508116,1536221508197, ,42,32,54
1837,1536221508437,1536221508548,e,42,69,321
1838,1536221508566,1536221508698,v,42,86,129
1839,1536221508654,1536221508707,a,42,65,88
1840,1536221508694,1536221508853,l,42,76,40
1841,1536221508806,1536221508884,u,42,85,112
1842,1536221508829,1536221508909,a,42,65,23
1843,1536221509317,1536221509445,t,42,84,488
1844,1536221509405,1536221509493,e,42,69,88
1845,1536221509557,1536221509669,d,42,68,152
1846,1536221509588,1536221509675, ,42,32,31
1847,1536221509773,1536221509908,o,42,79,185
1848,1536221509869,1536221509981,n,42,78,96
1849,1536221509950,1536221510028, ,42,32,81
1850,1536221510053,1536221510165,a,42,65,103
1851,1536221510102,1536221510205, ,42,32,49
1852,1536221510212,1536221510364,d,42,68,110
1853,1536221510310,1536221510444,a,42,65,98
1854,1536221510341,1536221510452,y,42,89,31
1855,1536221510420,1536221510515, ,42,32,79
1856,1536221510510,1536221510620,t,42,84,90
1857,1536221510564,1536221510653,o,42,79,54
1858,1536221510638,1536221510717, ,42,32,74
1859,1536221510772,1536221510915,d,42,68,134
1860,1536221510862,1536221510972,a,42,65,90
1861,1536221510910,1536221510973,y,42,89,48
1862,1536221510965,1536221511027, ,42,32,55
1863,1536221511085,1536221511173,b,42,66,120
1864,1536221511189,1536221511317,a,42,65,104
1865,1536221511278,1536221511381,s,42,83,89
1866,1536221511388,1536221511453,i,42,73,110
1867,1536221511460,1536221511574,s,42,83,72
1868,1536221511567,1536221511628,.,42,190,107
